,Names
1059,Elena
1060,Caroline
1061,Eliana
1062,Anna
1063,Maya
1064,Valentina
1065,Ruby
1066,Kennedy
1067,Ivy
1068,Ariana
1069,Aaliyah
1070,Cora
1071,Madelyn
1072,Alice
1073,Kinsley
1074,Hailey
1075,Gabriella
1076,Allison
1077,Gianna
1078,Serenity
1079,Samantha
1080,Sarah
1081,Autumn
1082,Quinn
1083,Eva
1084,Piper
1085,Sophie
1086,Sadie
1087,Delilah
1088,Josephine
1089,Nevaeh
1090,Adeline
1091,Arya
1092,Emery
1093,Lydia
1094,Clara
1095,Vivian
1096,Madeline
1097,Peyton
1098,Julia
1099,Rylee
1100,Brielle
1101,Reagan
1102,Natalia
1103,Jade
1104,Athena
1105,Maria
1106,Leilani
1107,Everleigh
1108,Liliana
1109,Melanie
1110,Mackenzie
1111,Hadley
1112,Raelynn
1113,Kaylee
1114,Rose
1115,Arianna
1116,Isabelle
1117,Melody
1118,Eliza
1119,Lyla
1120,Katherine
1121,Aubree
1122,Adalynn
1123,Kylie
1124,Faith
1125,Mary
1126,Margaret
1127,Ximena
1128,Iris
1129,Alexandra
1130,Jasmine
1131,Charlie
1132,Amaya
1133,Taylor
1134,Isabel
1135,Ashley
1136,Khloe
1137,Ryleigh
1138,Alexa
1139,Amara
1140,Valeria
1141,Andrea
1142,Parker
1143,Norah
1144,Eden
1145,Elliana
1146,Brianna
1147,Emersyn
1148,Valerie
1149,Anastasia
1150,Eloise
1151,Emerson
1152,Cecilia
1153,Remi
1154,Josie
1155,Alina
1156,Reese
1157,Bailey
1158,Lucia
1159,Adalyn
1160,Molly
1161,Ayla
1162,Sara
1163,Daisy
1164,London
1165,Jordyn
1166,Esther
1167,Genevieve
1168,Harmony
1169,Annabelle
1170,Alyssa
1171,Ariel
1172,Aliyah
1173,Londyn
1174,Juliana
1175,Morgan
1176,Summer
1177,Juliette
1178,Trinity
1179,Callie
1180,Sienna
1181,Blakely
1182,Alaia
1183,Kayla
1184,Teagan
1185,Alaina
1186,Brynlee
1187,Finley
1188,Catalina
1189,Sloane
1190,Rachel
1191,Lilly
1192,Ember
1193,Kimberly
1194,Juniper
1195,Sydney
1196,Arabella
1197,Gemma
1198,Jocelyn
1199,Freya
1200,June
1201,Lauren
1202,Amy
1203,Presley
1204,Georgia
1205,Journee
1206,Elise
1207,Rosalie
1208,Ada
1209,Laila
1210,Brooke
1211,Diana
1212,Olive
1213,River
1214,Payton
1215,Ariella
1216,Daniela
1217,Raegan
1218,Alayna
1219,Gracie
1220,Mya
1221,Blake
1222,Noelle
1223,Ana
1224,Leila
1225,Paige
1226,Lila
1227,Nicole
1228,Rowan
1229,Hope
1230,Ruth
1231,Alana
1232,Selena
1233,Marley
1234,Kamila
1235,Alexis
1236,Mckenzie
1237,Zara
1238,Millie
1239,Magnolia
1240,Kali
1241,Kehlani
1242,Catherine
1243,Maeve
1244,Adelyn
1245,Sawyer
1246,Elsie
1247,Lola
1248,Jayla
1249,Adriana
1250,Journey
1251,Vera
1252,Aspen
1253,Joanna
1254,Alivia
1255,Angela
1256,Dakota
1257,Camille
1258,Nyla
1259,Tessa
1260,Brooklynn
1261,Malia
1262,Makayla
1263,Rebecca
1264,Fiona
1265,Mariana
1266,Lena
1267,Julianna
1268,Vanessa
1269,Juliet
1270,Camilla
1271,Kendall
1272,Harley
1273,Cali
1274,Evangeline
1275,Mariah
1276,Jane
1277,Zuri
1278,Elaina
1279,Sage
1280,Amira
1281,Adaline
1282,Lia
1283,Charlee
1284,Delaney
1285,Lilah
1286,Miriam
1287,Angelina
1288,Mckenna
1289,Aniyah
1290,Phoebe
1291,Michelle
1292,Thea
1293,Hayden
1294,Maggie
1295,Lucille
1296,Amiyah
1297,Annie
1298,Alexandria
1299,Myla
1300,Vivienne
1301,Kiara
1302,Alani
1303,Margot
1304,Adelaide
1305,Briella
1306,Brynn
1307,Saylor
1308,Destiny
1309,Amari
1310,Evelynn
1311,Haven
1312,Phoenix
1313,Izabella
1314,Kaia
1315,Lilliana
1316,Harlow
1317,Alessandra
1318,Madilyn
1319,Nina
1320,Logan
1321,Adelynn
1322,Amina
1323,Kate
1324,Fatima
1325,Samara
1326,Winter
1327,Giselle
1328,Evie
1329,Arielle
1330,Jessica
1331,Talia
1332,Leia
1333,Gabriela
1334,Gracelyn
1335,Lexi
1336,Laura
1337,Makenzie
1338,Melissa
1339,Royalty
1340,Rylie
1341,Raelyn
1342,Gabrielle
1343,Paris
1344,Daleyza
1345,Joy
1346,Maisie
1347,Oakley
1348,Ariyah
1349,Kailani
1350,Alayah
1351,Stephanie
1352,Amora
1353,Willa
1354,Gracelynn
1355,Elle
1356,Keira
1357,Tatum
1358,Veronica
1359,Milani
1360,Felicity
1361,Paislee
1362,Allie
1363,Nylah
1364,Ariah
1365,Cassidy
1366,Lyric
1367,Madeleine
1368,Miracle
1369,Gwendolyn
1370,Octavia
1371,Dahlia
1372,Heidi
1373,Celeste
1374,Remington
1375,Makenna
1376,Everlee
1377,Scarlet
1378,Esmeralda
1379,Maci
1380,Lainey
1381,Jacqueline
1382,Kira
1383,Lana
1384,Brinley
1385,Demi
1386,Ophelia
1387,Lennon
1388,Reign
1389,Bristol
1390,Sabrina
1391,Alaya
1392,Jennifer
1393,Kenzie
1394,Angel
1395,Luciana
1396,Anaya
1397,Hallie
1398,Ryan
1399,Camryn
1400,Kinley
1401,Daniella
1402,Lilith
1403,Blair
1404,Amanda
1405,Collins
1406,Jordan
1407,Maliyah
1408,Rosemary
1409,Cataleya
1410,Kaylani
1411,Gia
1412,Alison
1413,Leighton
1414,Nadia
1415,Sutton
1416,Carolina
1417,Skye
1418,Alicia
1419,Regina
1420,Viviana
1421,Yaretzi
1422,Heaven
1423,Serena
1424,Raven
1425,Emely
1426,Carmen
1427,Wren
1428,Helen
1429,Charleigh
1430,Danielle
1431,Daphne
1432,Esme
1433,Nayeli
1434,Maddison
1435,Sarai
1436,Dylan
1437,Frances
1438,Elisa
1439,Mabel
1440,Skyler
1441,Jenna
1442,Emelia
1443,Kaitlyn
1444,Miranda
1445,Marlee
1446,Matilda
1447,Selah
1448,Jolene
1449,Wynter
1450,Hattie
1451,Bianca
1452,Haley
1453,Lorelei
1454,Mira
1455,Braelynn
1456,Annalise
1457,Madelynn
1458,Katie
1459,Palmer
1460,Aylin
1461,Elliott
1462,Kyla
1463,Rory
1464,Avianna
1465,Liana
1466,Shiloh
1467,Kalani
1468,Jada
1469,Kelsey
1470,Elianna
1471,Jimena
1472,Kora
1473,Kamryn
1474,Ainsley
1475,Averie
1476,Kensley
1477,Helena
1478,Holly
1479,Emory
1480,Macie
1481,Amber
1482,Zariah
1483,Erin
1484,Eve
1485,Kathryn
1486,Renata
1487,Kayleigh
1488,Emmy
1489,Celine
1490,Francesca
1491,Fernanda
1492,April
1493,Shelby
1494,Poppy
1495,Colette
1496,Meadow
1497,Nia
1498,Sierra
1499,Cheyenne
1500,Edith
1501,Oaklynn
1502,Kennedi
1503,Abby
1504,Danna
1505,Jazlyn
1506,Alessia
1507,Mikayla
1508,Alondra
1509,Addilyn
1510,Leona
1511,Mckinley
1512,Carter
1513,Maren
1514,Sylvia
1515,Alejandra
1516,Ariya
1517,Astrid
1518,Adrianna
1519,Charli
1520,Imani
1521,Maryam
1522,Christina
1523,Stevie
1524,Maia
1525,Adelina
1526,Dream
1527,Aisha
1528,Alanna
1529,Itzel
1530,Azalea
1531,Katelyn
1532,Kylee
1533,Leslie
1534,Madilynn
1535,Myra
1536,Virginia
1537,Remy
1538,Hanna
1539,Aleah
1540,Jaliyah
1541,Antonella
1542,Aviana
1543,Cameron
1544,Chelsea
1545,Cecelia
1546,Alia
1547,Mae
1548,Cadence
1549,Emberly
1550,Charley
1551,Janelle
1552,Mallory
1553,Kaliyah
1554,Elaine
1555,Gloria
1556,Jayleen
1557,Lorelai
1558,Malaysia
1559,Bethany
1560,Briana
1561,Beatrice
1562,Dorothy
1563,Rosie
1564,Jemma
1565,Noa
1566,Carly
1567,Mariam
1568,Anne
1569,Karina
1570,Emmalyn
1571,Ivory
1572,Ivanna
1573,Jamie
1574,Kara
1575,Aitana
1576,Jayda
1577,Justice
1578,Meredith
1579,Briar
1580,Skyla
1581,Khaleesi
1582,Dayana
1583,Julieta
1584,Katalina
1585,Kendra
1586,Oaklyn
1587,Ashlyn
1588,Armani
1589,Jazmin
1590,Kyra
1591,Angelica
1592,Zahra
1593,Dallas
1594,Johanna
1595,Elliot
1596,Macy
1597,Monroe
1598,Kimber
1599,Henley
1600,Ari
1601,Karsyn
1602,Lyanna
1603,Lilian
1604,Amalia
1605,Nola
1606,Dior
1607,Aleena
1608,Megan
1609,Michaela
1610,Amirah
1611,Cassandra
1612,Melany
1613,Legacy
1614,Reyna
1615,Alma
1616,Emmie
1617,Melina
1618,Siena
1619,Priscilla
1620,Ashlynn
1621,Savanna
1622,Sloan
1623,Tiana
1624,Aubrie
1625,Coraline
1626,Reina
1627,Allyson
1628,Kaydence
1629,Sasha
1630,Julie
1631,Alexia
1632,Irene
1633,Marilyn
1634,Greta
1635,Braelyn
1636,Emerie
1637,Lylah
1638,Nalani
1639,Monica
1640,Aileen
1641,Lauryn
1642,Anahi
1643,Aurelia
1644,Kassidy
1645,Rayna
1646,Romina
1647,Lillie
1648,Marie
1649,Rosa
1650,Saige
1651,Bonnie
1652,Kelly
1653,Xiomara
1654,Annabella
1655,Avah
1656,Lacey
1657,Anya
1658,Liberty
1659,Karen
1660,Mercy
1661,Zelda
1662,Baylee
1663,Chaya
1664,Kenna
1665,Roselyn
1666,Liv
1667,Mara
1668,Ensley
1669,Malani
1670,Malaya
1671,Hadassah
1672,Lyra
1673,Adley
1674,Galilea
1675,Jaylah
1676,Karla
1677,Nala
1678,Opal
1679,Aliza
1680,Milena
1681,Ailani
1682,Louisa
1683,Mina
1684,Kairi
1685,Clementine
1686,Louise
1687,Maleah
1688,Janiyah
1689,Marina
1690,Anika
1691,Julissa
1692,Bailee
1693,Hayley
1694,Jessie
1695,Laney
1696,Eileen
1697,Faye
1698,Kynlee
1699,Tiffany
1700,Lara
1701,Angie
1702,Joelle
1703,Rhea
1704,Calliope
1705,Jazmine
1706,Amani
1707,Haylee
1708,Aliana
1709,Leyla
1710,Jolie
1711,Kinslee
1712,Ryann
1713,Simone
1714,Milan
1715,Lennox
1716,Treasure
1717,Alora
1718,Ellis
1719,Rebekah
1720,Mikaela
1721,Lina
1722,Harmoni
1723,Yareli
1724,Giuliana
1725,Lea
1726,Harlee
1727,Elyse
1728,Frida
1729,Blaire
1730,Aya
1731,Laurel
1732,Meghan
1733,Pearl
1734,Zaylee
1735,Alena
1736,Holland
1737,Bria
1738,Rayne
1739,Bridget
1740,Zariyah
1741,Kori
1742,Frankie
1743,Clarissa
1744,Brylee
1745,Davina
1746,Rivka
1747,Cynthia
1748,Zaria
1749,Madalyn
1750,Paula
1751,Salem
1752,Amelie
1753,Madisyn
1754,Vienna
1755,Haisley
1756,Ainhoa
1757,Journi
1758,Karter
1759,Oaklee
1760,Livia
1761,Miley
1762,Adele
1763,Amaia
1764,Yara
1765,Averi
1766,Emmeline
1767,Kyleigh
1768,Princess
1769,Penny
1770,Sariyah
1771,Amayah
1772,Crystal
1773,Keyla
1774,Lilyana
1775,Linda
1776,Aniya
1777,Marianna
1778,Alaiya
1779,Noemi
1780,Chanel
1781,Estella
1782,Isabela
1783,Jillian
1784,Kallie
1785,Ellianna
1786,Elsa
1787,Itzayana
1788,Zora
1789,Estelle
1790,Chana
1791,Raina
1792,Royal
1793,Sunny
1794,Estrella
1795,Martha
1796,Ellen
1797,Kailey
1798,Maxine
1799,Clare
1800,Teresa
1801,Annika
1802,Kamilah
1803,Azariah
1804,Della
1805,Addyson
1806,Kai
1807,Lilianna
1808,Tinsley
1809,Yaritza
1810,Navy
1811,Winnie
1812,Andi
1813,Kamiyah
1814,Waverly
1815,Sky
1816,Amaris
1817,Ramona
1818,Saoirse
1819,Hana
1820,Judith
1821,Halle
1822,Laylah
1823,Novalee
1824,Jaycee
1825,Zaniyah
1826,Alianna
1827,Paulina
1828,Jayde
1829,Thalia
1830,Giovanna
1831,Gwen
1832,Iliana
1833,Elora
1834,Ezra
1835,Kaylie
1836,Braylee
1837,Mavis
1838,Ellison
1839,Margo
1840,Mylah
1841,Paisleigh
1842,Analia
1843,August
1844,Brittany
1845,Kaisley
1846,Belen
1847,Promise
1848,Amiya
1849,Dalary
1850,Veda
1851,Alisson
1852,Keilani
1853,Oakleigh
1854,Guadalupe
1855,Leanna
1856,Rosalyn
1857,Selene
1858,Theodora
1859,Kamari
1860,Anais
1861,Elodie
1862,Celia
1863,Dani
1864,Hunter
1865,Indie
1866,Kenia
1867,Nellie
1868,Belle
1869,Kataleya
1870,Lexie
1871,Miah
1872,Rylan
1873,Sylvie
1874,Valery
1875,Addilynn
1876,Dulce
1877,Marissa
1878,Meilani
1879,Natasha
1880,Jaylee
1881,Kimora
1882,Raquel
1883,Scarlette
1884,Aliya
1885,Nataly
1886,Whitney
1887,Corinne
1888,Denver
1889,Nathalie
1890,Kiera
1891,Milana
1892,Vada
1893,Violeta
1894,Luz
1895,Addisyn
1896,Casey
1897,Deborah
1898,Tori
1899,Zainab
1900,Erika
1901,Jenesis
1902,Avalynn
1903,Nancy
1904,Emmalynn
1905,Hadlee
1906,Heavenly
1907,Aubrielle
1908,Elisabeth
1909,Salma
1910,Adalee
1911,Landry
1912,Malayah
1913,Novah
1914,Egypt
1915,Ayleen
1916,Blessing
1917,Elina
1918,Joyce
1919,Myah
1920,Zoie
1921,Christine
1922,Jaelynn
1923,Persephone
1924,Chandler
1925,Emmaline
1926,Paloma
1927,Harleigh
1928,Noor
1929,Paola
1930,India
1931,Madalynn
1932,Rosalee
1933,Florence
1934,Maliah
1935,Flora
1936,Luella
1937,Patricia
1938,Whitley
1939,Carolyn
1940,Kathleen
1941,Keily
1942,Kiana
1943,Tenley
1944,Alyson
1945,Barbara
1946,Dana
1947,Yasmin
1948,Bexley
1949,Micah
1950,Tatiana
1951,Arden
1952,Aubriella
1953,Lindsey
1954,Emani
1955,Hailee
1956,Lisa
1957,Sevyn
1958,Fallon
1959,Magdalena
1960,Tinley
1961,Halo
1962,Lailah
1963,Arlette
1964,Ansley
1965,Esperanza
1966,Cleo
1967,Aila
1968,Emerald
1969,Jaelyn
1970,Karlee
1971,Kaya
1972,Ingrid
1973,Jewel
1974,Emilee
1975,Giana
1976,Paityn
1977,Zola
1978,Amoura
1979,Renee
1980,Ann
1981,Berkley
1982,Harriet
1983,Queen
1984,Sariah
1985,Beatrix
1986,Sandra
1987,Alannah
1988,Austyn
1989,Freyja
1990,Kaylin
1991,Samira
1992,Taliyah
1993,Hadleigh
1994,Kaiya
1995,Robin
1996,Luisa
1997,Zendaya
1998,Ariadne
1999,"Dixie
"
